song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,track_popularity
17,Youth Lagoon,0.348,0.263,0,-8.531,1,0.0516,0.835,0.654,0.129,58
Ode to Viceroy,Mac DeMarco,0.514,0.632,2,-6.305,1,0.0501,0.208,0.0132,0.115,63
Don't Touch My Hair,Solange,0.823,0.411,0,-7.061,1,0.0557,0.409,0.00135,0.649,61
Helplessness Blues,Fleet Foxes,0.324,0.463,8,-7.247,1,0.0336,0.0781,5.63e-06,0.103,59
Sound & Color,Alabama Shakes,0.547,0.43,2,-7.393,1,0.0667,0.848,0.613,0.0825,9
Wildfire,SBTRKT,0.835,0.481,0,-7.188,0,0.387,0.0308,0.000501,0.0896,62
Bloodbuzz Ohio,The National,0.39,0.834,9,-6.367,1,0.0444,0.0554,0.18,0.103,47
Pristine,Snail Mail,0.483,0.695,0,-5.493,1,0.0313,0.00461,0.000661,0.102,60
Girl,The Internet,0.568,0.42,7,-11.169,0,0.276,0.536,0.124,0.101,67
Feels Like We Only Go Backwards,Tame Impala,0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,75
So Good At Being in Trouble,Unknown Mortal Orchestra,0.829,0.435,0,-10.136,1,0.0515,0.0363,0.878,0.119,68
Alaska,Maggie Rogers,0.847,0.386,9,-10.668,0,0.0507,0.411,0.00176,0.108,69
I Don't Wanna Be Funny Anymore,Lucy Dacus,0.595,0.772,8,-8.033,1,0.0367,0.126,0.926,0.221,57
See You Again (feat. Kali Uchis),"Tyler, The Creator",0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,79
Odessa,Caribou,0.681,0.915,1,-5.974,1,0.042,0.00334,0.0817,0.354,54
Don't Wanna Be Your Girl,Wet,0.563,0.182,0,-14.931,1,0.039,0.78,0.0222,0.134,46
raingurl,Yaeji,0.929,0.572,6,-6.928,0,0.0506,0.017,0.00353,0.122,65
All My Happiness is Gone,Purple Mountains,0.505,0.746,7,-7.793,1,0.0271,0.00165,0.0463,0.266,57
I Follow Rivers,Lykke Li,0.599,0.533,9,-14.032,0,0.0472,0.475,0.00153,0.235,62
Only Child,Tierra Whack,0.826,0.365,1,-7.024,1,0.0412,0.849,3.8e-06,0.186,67
22 (OVER S∞∞N),Bon Iver,0.298,0.112,1,-15.765,1,0.0353,0.972,0.0823,0.0935,59
Chateau Lobby #4 (in C for Two Virgins),Father John Misty,0.436,0.804,0,-4.907,1,0.0409,0.209,0.0,0.171,60
Loving Is Easy,Rex Orange County,0.756,0.609,3,-7.927,1,0.0544,0.217,0.00474,0.096,80
(No One Knows Me) Like the Piano,Sampha,0.621,0.199,10,-13.788,1,0.0344,0.976,0.00186,0.107,63
Motion Sickness,Phoebe Bridgers,0.652,0.545,1,-9.021,1,0.0358,0.774,0.0428,0.0847,67
Hey Moon,John Maus,0.573,0.639,0,-7.143,1,0.0247,0.784,0.633,0.0923,54
You're Not Good Enough,Blood Orange,0.74,0.798,0,-6.55,1,0.146,0.189,0.00128,0.305,63
Every Time the Sun Comes Up,Sharon Van Etten,0.663,0.522,1,-8.741,1,0.0374,0.392,5.41e-06,0.197,63
Open Eye Signal,Jon Hopkins,0.798,0.715,0,-7.103,1,0.215,0.191,0.773,0.112,53
Kaputt,Destroyer,0.647,0.721,4,-8.918,1,0.0341,0.0755,0.121,0.169,49
Drunk Drivers/Killer Whales,Car Seat Headrest,0.534,0.414,2,-7.952,1,0.0403,0.218,2.11e-06,0.103,60
Grown Up,Danny Brown,0.635,0.766,11,-6.449,1,0.26,0.132,0.0,0.122,60
Love It If We Made It,The 1975,0.472,0.745,4,-5.297,1,0.0356,0.000607,2.74e-05,0.0957,73
Chum,Earl Sweatshirt,0.51,0.503,10,-8.756,0,0.242,0.0216,0.002,0.108,67
Round And Round,Ariel Pink,0.665,0.59,1,-6.831,0,0.0257,0.358,0.628,0.564,57
Road Head,Japanese Breakfast,0.54,0.674,4,-8.734,1,0.0296,0.0978,0.156,0.147,60
Never Catch Me,Flying Lotus,0.526,0.936,8,-4.576,1,0.263,0.316,0.000384,0.261,60
Helicopter,Deerhunter,0.504,0.718,4,-7.202,1,0.039,0.219,0.503,0.257,56
I'm Not Part of Me,Cloud Nothings,0.389,0.955,1,-4.962,1,0.0599,0.0524,0.652,0.0815,44
Territory,The Blaze,0.563,0.44,9,-11.943,0,0.0822,0.286,0.683,0.269,64
Downtown,Majical Cloudz,0.382,0.283,6,-9.357,1,0.0292,0.786,0.00478,0.111,53
Goodie Bag,Still Woozy,0.701,0.529,7,-12.242,0,0.147,0.82,0.00113,0.249,45
Airplanes,Local Natives,0.588,0.529,2,-7.838,1,0.0242,0.534,0.0683,0.126,49
Kill V. Maim,Grimes,0.578,0.947,11,-2.431,0,0.036,0.00744,0.0816,0.105,62
Nobody,Mitski,0.398,0.716,0,-5.254,1,0.0392,0.0764,0.0,0.0848,67
No Woman,Whitney,0.581,0.4,2,-8.739,1,0.0291,0.893,0.576,0.161,65
Coffee,Sylvan Esso,0.457,0.455,0,-8.112,1,0.188,0.348,0.00122,0.142,61
Loud Places,Jamie xx,0.646,0.629,8,-10.775,0,0.0427,0.00426,0.277,0.122,7
Riding For The Feeling,Bill Callahan,0.442,0.214,0,-15.002,1,0.0467,0.903,0.0122,0.252,48
Cruel,St. Vincent,0.57,0.704,1,-8.32,1,0.0314,0.0104,0.446,0.0905,55
Thinkin Bout You,Frank Ocean,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,75
Antidote,Orion Sun,0.506,0.807,8,-3.96,1,0.249,0.161,0.0,0.114,58
Get Got,Death Grips,0.57,0.993,7,-3.757,1,0.337,0.00628,0.00796,0.0876,58
The Wire,HAIM,0.547,0.635,2,-5.569,1,0.137,0.0127,5.01e-06,0.0585,60
Rill Rill,Sleigh Bells,0.468,0.812,1,-3.44,0,0.0491,0.0372,1.46e-06,0.0688,56
Not,Big Thief,0.422,0.788,11,-6.57,1,0.0556,0.101,0.00282,0.16,62
The Mother We Share,CHVRCHES,0.46,0.686,1,-6.43,1,0.0301,0.0324,4.45e-06,0.126,61
"Archie, Marry Me",Alvvays,0.27,0.83,7,-4.592,1,0.0741,0.00956,0.434,0.142,62
Mi Mujer,Nicolas Jaar,0.816,0.635,10,-8.354,0,0.0517,0.105,0.846,0.105,59
Lo Que Siento,Cuco,0.326,0.685,10,-5.576,1,0.179,0.503,0.0,0.427,76
Damn That Valley,U.S. Girls,0.396,0.887,9,-3.682,1,0.0563,5.1e-05,0.354,0.351,40
The Words That Maketh Murder,PJ Harvey,0.591,0.782,2,-8.895,0,0.0429,0.61,0.0,0.172,37
Lucky,Choker,0.477,0.328,4,-8.458,1,0.0658,0.906,7.36e-06,0.262,63
Fineshrine,Purity Ring,0.609,0.798,5,-4.448,0,0.0404,0.018,8.68e-06,0.434,60
Busy Earnin',Jungle,0.457,0.883,10,-5.61,0,0.0376,0.209,5.11e-06,0.0912,53
Rare,Selena Gomez,0.838,0.545,5,-6.713,1,0.0706,0.208,8.01e-05,0.103,88
Señorita,Shawn Mendes,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,88
The Victory - Reloaded,Deborah Dworshipper,0.686,0.629,4,-6.485,0,0.0423,0.209,0.0,0.121,46
Finally // beautiful stranger,Halsey,0.626,0.55,9,-5.105,0,0.029,0.051,0.0,0.118,79
One Thing Right - Koni Remix,Marshmello,0.646,0.792,1,-5.679,0,0.0661,0.0108,0.0,0.587,46
Lines,Keo Nozari,0.701,0.728,7,-7.152,1,0.0722,0.0753,0.0,0.377,23
Summer of Love,Lou Ella,0.664,0.231,9,-12.696,0,0.0372,0.866,1.62e-05,0.0998,29
Berlin,Tom Goss,0.647,0.325,0,-13.512,1,0.0278,0.409,0.000498,0.126,37
Dreams,Keo Nozari,0.397,0.694,8,-9.638,1,0.331,0.0476,0.0,0.746,27
Help,Saint Mars,0.478,0.672,4,-5.802,0,0.0589,0.000399,0.0,0.0921,42
Where Are You,Adil C,0.545,0.626,5,-7.792,0,0.0377,0.235,0.000504,0.0974,39
Closure,Nick Hames,0.721,0.345,5,-9.805,0,0.031,0.0905,0.000313,0.149,38
Okay.,Bailey Crego,0.654,0.601,2,-6.474,1,0.0234,0.029,0.0,0.209,29
Adore You,Harry Styles,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,91
Me & You,Chip Conyard,0.593,0.522,1,-11.446,0,0.0522,0.54,0.339,0.113,33
Never Enough,Blair Woods,0.596,0.681,5,-7.321,0,0.0597,0.0978,0.000236,0.103,27
I Feel Love,Sam Smith,0.719,0.708,0,-7.418,1,0.0417,0.00645,0.201,0.064,78
Down,Melissa Crispo,0.737,0.434,10,-10.363,0,0.0416,0.39,3.12e-06,0.126,21
Alone Tonight,Maxwell Luke,0.621,0.606,6,-8.412,1,0.0452,0.107,0.0,0.116,36
Happy You Came Around,Amber Ryann,0.568,0.565,6,-8.275,0,0.292,0.154,0.0,0.726,29
Wanting More,Kat Holland,0.644,0.414,2,-10.358,1,0.0341,0.541,0.000133,0.0835,31
Torturing Myself,Lauren Presley,0.452,0.42,1,-12.457,1,0.151,0.0744,0.0,0.194,42
Wait for Me,CTZNJ,0.298,0.571,0,-13.515,1,0.0932,0.0858,0.225,0.132,43
Like It or Not,Ksenia,0.762,0.525,11,-7.066,1,0.13,0.0374,0.000168,0.0944,39
Special,Kevlah,0.595,0.502,10,-13.756,1,0.131,0.347,0.0,0.121,38
Gone From Here - Original Mix,Maml,0.675,0.693,8,-7.351,0,0.0613,0.0989,0.0134,0.0816,28
HITHER,Downlowd,0.793,0.749,1,-6.948,1,0.0564,0.00219,0.845,0.0945,33
I've Changed,Asher Knight,0.657,0.73,8,-6.294,1,0.0633,0.118,4.21e-06,0.152,42
Do It for the Photos,Two Neighbors,0.511,0.613,11,-8.344,0,0.312,0.112,0.0,0.0857,23
If I Loved You,Royse,0.663,0.829,11,-3.222,1,0.0458,0.477,0.0,0.157,38
Behold!,Seven Lights,0.665,0.634,1,-5.484,1,0.029,0.0149,0.0,0.104,32
Nobody Else - Radio Edit,Scriss,0.615,0.726,0,-7.128,0,0.0321,0.456,3.11e-05,0.104,24
Senses,KINGDØMS,0.708,0.662,9,-7.492,1,0.0791,0.0194,0.00132,0.0882,41
Anyway feat. Jafro & Renz,Plastician,0.639,0.957,9,-6.039,0,0.558,0.156,0.0,0.348,38
Tell Me It's Over,Guy Tang,0.421,0.706,2,-5.206,0,0.124,0.201,1.71e-05,0.192,32
Heart Beats Fast. (Xander Milne Remix),Eivind Husebø,0.691,0.66,10,-8.007,0,0.0772,0.000117,0.446,0.0506,27
Different Ways,Natixx,0.677,0.588,6,-9.496,0,0.0368,0.0325,0.000228,0.128,26
Maillot de bain,Modhayan,0.687,0.449,7,-15.161,1,0.0852,0.675,0.909,0.0643,38
Knowing,Davina Leone,0.37,0.196,1,-15.067,1,0.0296,0.915,0.000116,0.147,13
Fantasy,TYFI,0.669,0.761,6,-5.159,1,0.0514,0.354,0.000134,0.351,43
Cheap Thrills,Sia,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,77
Problem,Ariana Grande,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,9
Firestone (feat. Conrad Sewell),Kygo,0.684,0.64,11,-7.344,0,0.0453,0.404,2.77e-05,0.0989,16
Dead Types,Don Mills,0.697,0.662,5,-7.831,1,0.208,0.112,0.129,0.11,44
Havana,Camila Cabello,0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,26
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,78
Slide (feat. Frank Ocean & Migos),Calvin Harris,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,69
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,0.667,0.83,0,-5.715,1,0.0749,0.0123,0.0,0.191,78
Faded,Alan Walker,0.589,0.651,6,-5.097,1,0.0306,0.0291,3.2e-06,0.111,77
A Long Time,Shannon K,0.662,0.697,5,-4.461,1,0.0712,0.0722,0.0,0.291,34
Someone Like You,Adele,0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,79
Something Just Like This,The Chainsmokers,0.607,0.649,11,-6.695,0,0.0362,0.0306,2.46e-05,0.174,76
Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,86
Swish,Josh Stanley,0.646,0.412,4,-10.929,0,0.111,0.145,0.0,0.111,49
Hold Up,Beyoncé,0.524,0.397,0,-11.936,1,0.405,0.745,0.0,0.521,75
Chandelier,Sia,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,79
Thraa,Doje,0.889,0.55,8,-8.147,0,0.104,0.319,2.77e-05,0.104,42
Instant Crush,Daft Punk,0.775,0.585,10,-9.516,0,0.0271,0.0422,0.619,0.077,75
Yellow Hearts,Ant Saunders,0.865,0.438,7,-8.943,1,0.0719,0.177,0.0,0.0743,89
Sass Cafe,Josh Stanley,0.799,0.616,1,-9.501,1,0.262,0.343,4.15e-05,0.14,41
Pumped Up Kicks,Foster The People,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,83
We Can't Stop,Miley Cyrus,0.613,0.622,1,-5.794,0,0.0334,0.00882,0.0,0.37,77
Sweet Dreams,The FifthGuys,0.462,0.519,9,-8.946,1,0.0372,0.406,0.0,0.103,43
All of Me,John Legend,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,85
Cry for Me,Camila Cabello,0.721,0.805,9,-4.134,0,0.0927,0.05,0.0,0.153,73
Sweet Nothing (feat. Florence Welch),Calvin Harris,0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,71
ANTHEM,Connor Bvrns,0.661,0.884,8,-3.878,0,0.165,0.137,0.0,0.101,48
Ex's & Oh's,Elle King,0.612,0.921,7,-2.879,1,0.0848,0.0183,0.0,0.0576,73
Rich Boy,Josh Stanley,0.836,0.47,9,-11.828,0,0.211,0.527,0.000131,0.0963,34
Don't Let Me Down,The Chainsmokers,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,81
Locked Away,R. City,0.509,0.671,1,-5.709,1,0.0678,0.304,0.0,0.0452,73
Happy,ØMG,0.806,0.715,0,-6.092,1,0.228,0.218,0.0,0.118,50
Sunday Best,Surfaces,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,81
Lush Life,Zara Larsson,0.694,0.712,7,-3.923,0,0.046,0.133,0.0,0.211,76
Over and Done,Joanna Crass,0.637,0.717,0,-8.54,0,0.0615,0.158,5.3e-06,0.177,42
Uptown Funk,Mark Ronson,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,82
Beyond the Sky,ØMG,0.774,0.828,5,-1.869,0,0.198,0.719,1.65e-06,0.122,43
Halo,Beyoncé,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,77
Wild Thoughts,DJ Khaled,0.613,0.681,8,-3.089,1,0.0778,0.0287,0.0,0.126,15
Girl On Fire,Alicia Keys,0.482,0.706,9,-5.762,1,0.0609,0.135,0.00106,0.105,75
Tus Juegos,Pochin Mirkin,0.839,0.848,11,-4.954,1,0.0314,0.229,1.28e-05,0.0611,42
Liar,Camila Cabello,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,87
Wake Me Up - Radio Edit,Avicii,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,25
Rude,MAGIC!,0.774,0.756,1,-4.995,1,0.0389,0.0423,0.0,0.305,78
Nothing,Paul Butcher,0.71,0.636,10,-4.161,0,0.0397,0.0278,0.0,0.126,40
Just Give Me a Reason (feat. Nate Ruess),P!nk,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,80
Still Don't Know My Name,Labrinth,0.314,0.63,5,-5.963,1,0.116,0.471,0.266,0.205,75
All About That Bass,Meghan Trainor,0.807,0.887,9,-3.726,1,0.0503,0.0573,2.87e-06,0.124,70
Story of My Life,One Direction,0.6,0.663,3,-5.802,1,0.0477,0.225,0.0,0.119,80
New Rules,Dua Lipa,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,83
Timber (feat. Ke$ha),Pitbull,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,76
On & On - Mixed,MØ,0.648,0.647,5,-9.842,0,0.116,0.135,0.0,0.8,53
Dusk Till Dawn - Radio Edit,ZAYN,0.258,0.437,11,-6.593,0,0.039,0.101,1.27e-06,0.106,81
Impossible,James Arthur,0.376,0.696,0,-4.785,0,0.0949,0.141,0.0,0.11,76
Find U Again (feat. Camila Cabello),Mark Ronson,0.605,0.664,8,-7.162,1,0.0316,0.00548,3e-06,0.204,74
Lost,Chris Linton,0.58,0.438,9,-7.696,0,0.028,0.738,1.04e-06,0.189,44
Run the World (Girls),Beyoncé,0.733,0.899,0,-4.237,1,0.143,0.00496,4.72e-05,0.372,75
Love Lies (with Normani),Khalid,0.708,0.648,6,-5.626,1,0.0449,0.0956,0.0,0.134,79
Set Fire to the Rain,Adele,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.66e-06,0.112,74
Kill My Mind,Louis Tomlinson,0.515,0.873,10,-3.062,1,0.0389,0.00104,0.0,0.104,66
PILLOWTALK,ZAYN,0.584,0.7,11,-4.275,1,0.0456,0.117,0.0,0.0939,78
TiK ToK,Kesha,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,80
New Light,John Mayer,0.828,0.689,7,-7.878,1,0.0326,0.325,0.0384,0.0808,80
So What,P!nk,0.535,0.888,11,-3.1,1,0.0446,0.000304,2.17e-06,0.324,15
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,79
The Greatest,Sia,0.668,0.725,1,-6.127,1,0.266,0.0102,0.000479,0.0561,74
Say Something,A Great Big World,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,78
Five More Hours - Deorro x Chris Brown,Deorro,0.699,0.883,5,-3.226,0,0.219,0.0288,0.0,0.817,68
Malibu,Miley Cyrus,0.565,0.782,8,-6.413,1,0.0506,0.0577,4.16e-05,0.0757,21
I'm the One,DJ Khaled,0.599,0.667,7,-4.267,1,0.0367,0.0533,0.0,0.134,18
"Hey, Soul Sister",Train,0.675,0.885,1,-4.432,0,0.0436,0.217,0.0,0.086,27
Mirrors,Justin Timberlake,0.574,0.512,5,-6.664,0,0.0503,0.234,0.0,0.0946,77
Silence,Marshmello,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,81
Better,Khalid,0.442,0.585,0,-10.332,0,0.0964,0.0984,0.391,0.14,76
Treat You Better,Shawn Mendes,0.748,0.819,10,-4.032,0,0.198,0.13,0.0,0.111,11
NO,Meghan Trainor,0.557,0.801,1,-3.602,0,0.218,0.0125,1.66e-06,0.737,69
Radioactive,Imagine Dragons,0.473,0.777,9,-3.698,1,0.059,0.119,7.87e-05,0.671,16
What About Us,P!nk,0.386,0.594,1,-6.186,1,0.0565,0.0254,3.03e-06,0.0873,65
Budapest,George Ezra,0.714,0.451,5,-8.268,1,0.0276,0.0883,0.0,0.108,76
Cold Water (feat. Justin Bieber & MØ),Major Lazer,0.608,0.798,6,-5.092,0,0.0432,0.0736,0.0,0.156,19
Payphone,Maroon 5,0.743,0.752,4,-4.813,1,0.0414,0.0188,0.0,0.287,78
Say You Won't Let Go,James Arthur,0.4,0.564,10,-7.444,1,0.0523,0.693,0.0,0.0863,76
Attention,Charlie Puth,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,23
Good Thing (with Kehlani),Zedd,0.693,0.564,1,-3.857,0,0.0378,0.399,0.0,0.0409,82
God Is A Dancer,Tiësto,0.774,0.747,1,-3.908,0,0.082,0.0241,6.11e-06,0.342,45
Supalonely,BENEE,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,67
Breathe,Herb Barclay,0.601,0.77,1,-10.105,0,0.0602,0.0683,0.000659,0.0566,13
Sad (feat. Afrojack) - SLVR Remix,Chico Rose,0.651,0.925,1,-3.382,1,0.0666,0.0232,0.0134,0.0567,49
Mamma Mia,Tokyo Tav,0.691,0.939,9,-4.06,0,0.279,0.0202,1.08e-05,0.558,17
Coke & Henny Pt. 2,Pink Sweat$,0.806,0.289,1,-9.853,0,0.0389,0.609,0.0,0.105,6
Without No Fear,Urchin,0.649,0.831,5,-6.556,0,0.0702,0.0443,0.383,0.0712,21
Speechless,Dan + Shay,0.616,0.438,1,-5.968,1,0.0298,0.356,0.0,0.24,79
Dance Monkey,Tones and I,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,79
Circles,Post Malone,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,98
Don't Start Now,Dua Lipa,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,97
HIGHEST IN THE ROOM,Travis Scott,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,94
hot girl bummer,blackbear,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,94
Follow God,Kanye West,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,85
"10,000 Hours (with Justin Bieber)",Dan + Shay,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,91
Beautiful People (feat. Khalid),Ed Sheeran,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,85
ROXANNE,Arizona Zervas,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,71
Look At Her Now,Selena Gomez,0.563,0.564,10,-7.906,0,0.271,0.114,0.0254,0.304,86
How Do You Sleep?,Sam Smith,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,91
Lights Up,Harry Styles,0.585,0.62,3,-8.09,0,0.0327,0.0426,0.00224,0.15,74
Trampoline (with ZAYN),SHAED,0.619,0.459,7,-5.782,0,0.0334,0.56,0.0,0.137,90
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,0.857,0.621,9,-6.376,0,0.0824,0.148,0.0,0.0865,91
Goodbyes (Feat. Young Thug),Post Malone,0.58,0.653,5,-3.818,1,0.0745,0.447,0.0,0.111,51
I Don't Care (with Justin Bieber),Ed Sheeran,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,84
Lalala,Y2K,0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,91
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,87
Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,0.845,0.631,7,-8.206,0,0.216,0.188,0.0,0.0806,86
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,0.668,0.892,5,-3.001,0,0.0645,0.298,0.0,0.735,89
Ransom,Lil Tecca,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,90
It's You,Ali Gatie,0.732,0.463,11,-6.972,0,0.0287,0.374,0.0,0.194,68
Graveyard,Halsey,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,87
Callaita,Bad Bunny,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,90
Panini,Lil Nas X,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,79
Bad To You (with Normani & Nicki Minaj),Ariana Grande,0.727,0.583,7,-7.385,0,0.0718,0.065,0.0,0.106,76
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,0.499,0.8,1,-2.665,0,0.0502,0.0906,0.0,0.147,87
No Me Conoce - Remix,Jhay Cortez,0.806,0.786,10,-3.831,0,0.0741,0.145,0.0,0.0935,86
Fantasias,Rauw Alejandro,0.879,0.703,1,-4.219,1,0.0701,0.143,0.0,0.0569,92
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,0.694,0.758,11,-2.986,1,0.218,0.278,1.34e-06,0.102,88
223's (feat. 9lokknine),YNW Melly,0.932,0.547,0,-7.787,0,0.333,0.0388,0.0,0.0924,85
Stuck In A Dream (feat. Gunna),Lil Mosey,0.753,0.652,10,-5.943,0,0.0753,0.444,0.0,0.117,64
Si Te Vas,Sech,0.732,0.644,0,-4.124,1,0.132,0.0934,4.54e-06,0.143,88
Old Town Road - Remix,Lil Nas X,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,90
"Yo x Ti, Tu x Mi",ROSALÍA,0.78,0.759,1,-3.292,1,0.225,0.462,0.000868,0.143,88
Dance Monkey,Tones and I,0.824,0.592,6,-6.4,0,0.0969,0.693,0.000158,0.178,43
Trigger,Major Lazer,0.57,0.585,8,-7.041,1,0.251,0.128,9.7e-05,0.111,80
Make It Right (feat. Lauv),BTS,0.584,0.685,7,-7.811,1,0.425,0.0304,0.0,0.189,83
Lonely (with Jonas Brothers),Diplo,0.738,0.717,1,-5.121,1,0.0573,0.062,0.0,0.205,80
Easy,Camila Cabello,0.574,0.593,4,-5.731,0,0.0463,0.411,1.55e-06,0.0966,78
Harleys In Hawaii,Katy Perry,0.722,0.757,10,-6.207,0,0.132,0.185,6.32e-06,0.126,78
Beautiful People (feat. Khalid),Ed Sheeran,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,89
Feelings,Lauv,0.694,0.466,9,-6.758,1,0.0384,0.0934,0.0,0.098,81
Bruises,Lewis Capaldi,0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.186,86
July,Noah Cyrus,0.708,0.186,9,-8.953,0,0.0422,0.868,0.0,0.0779,88
Heartless (feat. Morgan Wallen),Diplo,0.764,0.555,11,-6.414,1,0.0604,0.275,0.0,0.0824,82
Panini,Lil Nas X,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,84
I.F.L.Y.,Bazzi,0.812,0.519,2,-4.823,1,0.0385,0.379,0.0,0.13,33
Orphans,Coldplay,0.503,0.808,11,-5.051,0,0.045,0.0254,0.00162,0.557,78
What Am I,Why Don't We,0.614,0.647,0,-4.681,0,0.0524,0.0687,0.0,0.104,79
Teeth,5 Seconds of Summer,0.755,0.448,3,-2.993,0,0.0405,0.0508,3.87e-06,0.11,80
Outnumbered,Dermot Kennedy,0.614,0.684,0,-5.79,1,0.157,0.247,0.0,0.0976,80
Playing Games (with Bryson Tiller) - Extended Version,Summer Walker,0.726,0.408,11,-6.606,0,0.0614,0.603,0.0,0.225,80
Piece Of Your Heart,MEDUZA,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,30
Obsessed,Dynoro,0.582,0.826,11,-4.599,0,0.0612,0.0614,2.7e-06,0.108,69
Dancin (feat. Luvli) - Krono Remix,Aaron Smith,0.72,0.741,10,-6.529,0,0.0287,0.101,1.41e-05,0.289,84
Bones (feat. OneRepublic),Galantis,0.658,0.804,0,-5.735,1,0.0377,0.00463,0.0,0.178,77
All Day And Night - Jax Jones & Martin Solveig Present Europa,Jax Jones,0.585,0.782,1,-4.101,0,0.0897,0.269,0.0,0.156,21
Who's Got Your Love,Cheat Codes,0.704,0.888,11,-2.872,1,0.0541,0.00553,0.0011,0.079,64
Happier,Marshmello,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,89
All Around The World (La La La),R3HAB,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,62
Speechless (feat. Erika Sirola),Robin Schulz,0.574,0.728,1,-4.777,1,0.062,0.0161,1.42e-06,0.0851,78
Remember (with ZOHARA),Gryffin,0.619,0.901,11,-4.173,0,0.0563,0.0975,0.0455,0.178,61
